"id","km2_cluster"
1,1
2,1
3,2
4,2
5,1
6,1
7,1
8,1
9,2
10,1
11,1
12,2
13,1
14,2
15,1
16,2
17,1
18,1
19,2
20,1
21,1
22,2
23,2
24,2
25,1
26,1
27,2
28,2
29,1
30,2
31,2
32,2
33,1
34,1
35,1
36,1
37,2
38,1
39,1
40,2
41,2
42,2
43,1
44,2
45,1
46,1
47,1
48,2
49,1
50,1
51,1
52,1
53,2
54,1
55,2
56,2
57,1
58,1
59,2
60,1
61,1
62,1
63,1
64,2
65,2
66,1
67,1
68,1
69,2
70,1
71,2
72,1
73,2
74,2
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,2
84,2
85,2
86,2
87,1
88,2
89,1
90,2
91,1
92,2
93,1
94,2
95,1
96,1
97,2
98,1
99,1
100,1
101,1
102,1
103,1
104,2
105,2
106,2
107,2
108,1
109,2
110,1
111,1
112,1
113,2
114,2
115,2
116,1
117,1
118,2
119,1
120,2
121,2
122,1
123,1
124,2
125,2
126,1
127,2
128,2
129,1
130,1
131,2
132,2
133,1
134,1
135,2
136,1
137,1
138,1
139,1
140,2
141,1
142,2
143,2
144,1
145,1
146,1
147,1
148,1
149,2
150,1
151,1
152,2
153,1
154,2
155,2
156,2
157,1
158,2
159,2
160,2
161,1
162,1
163,1
164,2
165,1
166,2
167,1
168,2
169,2
170,2
171,2
172,1
173,1
174,1
175,2
176,1
177,1
178,1
179,1
180,1
181,2
182,2
183,1
184,1
185,2
186,2
187,1
188,2
189,2
190,1
191,1
192,2
193,2
194,1
195,2
196,1
197,1
198,1
199,2
200,1
201,1
202,2
203,1
204,1
205,1
206,2
207,2
208,2
209,1
210,1
211,2
212,1
213,1
214,1
215,2
216,1
217,1
218,1
219,1
220,1
221,1
222,2
223,1
224,1
225,2
226,1
227,1
228,1
229,1
230,2
231,1
232,1
233,2
234,2
235,1
236,1
237,1
238,2
239,2
240,2
241,1
242,2
243,2
244,1
245,1
246,1
247,2
248,2
249,2
250,1
251,2
252,2
253,2
254,1
255,2
256,2
257,1
258,2
259,1
260,2
261,2
262,2
263,1
264,1
265,1
266,1
267,2
268,2
269,2
270,2
271,1
272,2
273,1
274,2
275,2
276,1
277,1
278,2
279,2
280,2
281,1
282,2
283,2
284,1
285,1
286,2
287,2
288,2
289,2
290,1
291,2
292,1
293,2
294,2
295,2
296,2
297,1
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
